Price,Close,Close,Close,High,High,High,Low,Low,Low,Open,Open,Open,Volume,Volume,Volume
Ticker,AAPL,GOOGL,TSLA,AAPL,GOOGL,TSLA,AAPL,GOOGL,TSLA,AAPL,GOOGL,TSLA,AAPL,GOOGL,TSLA
Date,,,,,,,,,,,,,,,
2024-01-02,184.73497009277344,137.67092895507812,248.4199981689453,187.52132261231023,138.94630438637614,251.25,182.9935016661129,135.9870307924664,244.41000366210938,186.2376030973938,138.0495612625078,250.0800018310547,82488700,23711200,104654200
2024-01-03,183.35174560546875,138.41822814941406,238.4499969482422,184.973803899141,139.12567036509972,245.67999267578125,182.53573597559208,136.58487775890734,236.32000732421875,183.32189307602442,136.75426190549678,244.97999572753906,58414500,24212100,121082600
2024-01-04,181.02317810058594,135.89735412597656,237.92999267578125,182.19741821935423,138.65735304986882,242.6999969482422,179.99820064627082,135.85750529693797,237.72999572753906,181.261998363711,137.92002048142746,239.25,71983600,27137700,102629300
2024-01-05,180.2967071533203,135.23974609375,237.49000549316406,181.8690061871609,136.66458891457754,240.1199951171875,179.29163655398915,134.66183919892327,234.89999389648438,181.10277101042314,136.25606616421598,236.86000061035156,62303300,22506000,92379400
2024-01-08,184.65536499023438,138.33851623535156,240.4499969482422,184.6951784875532,138.50790038311104,241.25,180.6151605231867,135.76783318574974,235.3000030517578,181.20228054123743,135.79772361160872,236.13999938964844,59144500,21404000,85166600
2024-01-09,184.23741149902344,140.44090270996094,234.9600067138672,184.24735728099782,140.97896080972643,238.9600067138672,181.83915700040632,137.6510129285237,232.0399932861328,183.02335798455337,137.9997548525819,238.11000061035156,42841800,24759600,96705700
2024-01-10,185.2823028564453,141.76609802246094,233.94000244140625,185.49127057687537,142.48349867263119,235.5,183.02336513916433,140.40105118706725,231.2899932861328,183.45127673118873,140.49072246741957,235.10000610351562,46792900,21320200,91628500
2024-01-11,184.6852264404297,141.5668182373047,227.22000122070312,186.13811547472974,144.6954761563001,230.92999267578125,182.7248291738061,140.1320169897214,225.3699951171875,185.6305920580053,142.97172905920294,230.57000732421875,49128400,24008700,105873600
2024-01-12,185.01361083984375,142.13475036621094,218.88999938964844,185.8296205077815,142.68276683874566,225.33999633789062,184.2871739488164,141.3077616574565,217.14999389648438,185.1529277118819,142.15468238439635,220.0800018310547,40444700,18768600,122889000
2024-01-16,182.73477172851562,141.97532653808594,219.91000366210938,183.361690026594,143.82860876024412,223.49000549316406,180.04792262326768,140.93907454092556,212.17999267578125,181.27193705900044,141.4870909621475,215.10000610351562,65603000,22670500,115355000
2024-01-17,181.7893829345703,140.9590301513672,215.5500030517578,182.03816412329252,141.3276888947719,215.6699981689453,179.42099634332618,138.39830535616042,212.00999450683594,180.38626857032017,140.83946844078756,214.86000061035156,47317400,20968600,103164400
2024-01-18,187.71041870117188,142.96176147460938,211.8800048828125,188.217926944481,143.6891357400747,217.4499969482422,184.92406588558168,141.47715292408563,208.74000549316406,185.18279289864887,141.53693377797572,216.8800048828125,78005800,25746400,108595400
